,Breach Type Description_Both,Breach Type Description_Electronic,Breach Type Description_Paper,Breach Type Description_Undefined,Date Reported To OCA,Organization Name,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,Keywords,Organization Categories
8010,0.0,0.0,1.0,0.0,2015-08-10,Eastern Bank,False,1.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8011,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,1.0,False,True,False,True,False,False,False,"['bank', 'eastern']",Finance
8012,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,1.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8013,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,7.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8014,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,1.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8015,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,2.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8016,0.0,0.0,0.0,1.0,2015-08-10,Eastern Bank,False,4.0,False,True,False,True,False,False,False,"['bank', 'eastern']",Finance
8017,0.0,0.0,0.0,1.0,2015-08-10,Eastern Bank,False,2.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8018,0.0,0.0,1.0,0.0,2015-08-10,Eastern Bank,False,2.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8019,0.0,0.0,1.0,0.0,2015-08-10,Eastern Bank,False,2.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8020,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,1.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8021,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,32.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8022,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,9.0,False,True,False,True,False,False,False,"['bank', 'eastern']",Finance
8023,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,73.0,False,True,False,True,False,False,False,"['bank', 'eastern']",Finance
8024,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,3.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8025,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,2.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8026,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,8.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8027,0.0,0.0,1.0,0.0,2015-08-10,Eastern Bank,False,2.0,False,True,False,True,False,False,False,"['bank', 'eastern']",Finance
8028,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,1.0,False,True,False,True,False,False,False,"['bank', 'eastern']",Finance
8029,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,11.0,False,True,False,True,False,False,False,"['bank', 'eastern']",Finance
8030,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,1.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8031,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,1.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8032,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,2.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8033,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,5.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8034,0.0,1.0,0.0,0.0,2015-08-10,Eastern Bank,False,2.0,False,False,False,True,False,False,False,"['bank', 'eastern']",Finance
8035,0.0,1.0,0.0,0.0,2015-08-11,Alliance Berstein L.P.,False,2.0,True,False,False,False,True,False,True,"['berstein', 'alliance']",Other
8036,0.0,0.0,1.0,0.0,2015-08-11,CoStaff Services,True,1.0,True,True,False,False,False,False,False,"['costaff', 'services']",Corporation
8037,0.0,1.0,0.0,0.0,2015-08-12,The Prudential Insurance Co. of America,True,1.0,False,True,True,False,False,False,False,"['prudential', 'insurance', 'america']",Technology
8038,0.0,0.0,1.0,0.0,2015-08-12,St. Mary's Credit Union,False,1.0,False,False,False,True,False,False,False,"['union', 'mary', 'credit']",Healthcare
8039,0.0,1.0,0.0,0.0,2015-08-12,St. Mary's Credit Union,False,5.0,False,False,False,True,False,False,False,"['union', 'mary', 'credit']",Healthcare
